당 挡=擋(숨길 당; ⼿-총16획; dǎng,dàng)
당 档=檔(의자 당; ⽊-총17획; dàng)
당 裆=襠(잠방이 당; ⾐-총18획; dāng)
당 谠=讜(곧은 말 당; ⾔-총27획; dǎng,dàng,tàng)
당 铛=鐺(쇠사슬 당; ⾦-총21획; dāng,tāng)
당 镗=鏜(종고 소리 당; ⾦-총19획; tāng)
당 饧=餳(엿 당; ⾷-총18획; xíng,qíng,táng)
대 台=臺(돈대 대; ⾄-총14획; tái,tāi)
대 台=檯(등대 대; ⽊-총18획; tái)
대 对=對(대답할 대; ⼨-총14획; duì)
대 带=帶(띠 대; ⼱-총11획; dài)
대 怼=懟(원망할 대; ⼼-총18획; duì)
